ID	X	Y	AMEARLY	AMLATE
200001	33658.3	39403.6	645	710
200002	48091.9	148906	810	825
200003	50622.3	109764	755	805
200004	41940.2	176088	1025	1050
200005	204962	154888	500	520
200006	39405.7	41012.9	800	810
200007	40213.7	113764	920	940
200008	85986.7	125217	810	840
200009	51314.4	173436	605	625
200010	40528.5	46101.1	715	730
200011	50381.9	109139	610	640
200012	40408.5	158654	605	615
200013	42350.9	151864	700	715
200014	74007.4	192151	935	945
200015	204021	157147	535	550
200016	43889.9	178648	725	750
200017	75137.6	195736	550	600
200018	35826.9	79440.1	835	855
200019	51194.1	108873	510	520
200020	56116.7	32075.4	800	825
200021	114026	11945.8	535	600
200022	51064.3	185788	910	940
200023	8382.28	102990	830	900
200024	31903.2	161788	1020	1040
200025	33615.1	39308.1	825	835
