ID	X	Y	AMEARLY	AMLATE
200001	112500	205625	1020	1040
200002	129858	180616	725	750
200003	66479	77185	930	940
200004	200384	48096.4	940	950
200005	111140	184851	615	630
200006	205567	191135	1035	1045
200007	159907	69734	705	735
200008	198850	113628	700	710
200009	43429.8	75708.9	520	540
200010	180996	31898.8	820	840
200011	78010	66530.5	910	940
200012	100930	27425.6	500	530
200013	76392.2	70146.5	1030	1040
200014	199766	70713.7	1015	1045
200015	180242	104636	855	910
200016	8379.16	71680.5	845	910
200017	134911	30519.5	605	635
200018	11531	167551	535	600
200019	174712	63114.4	815	840
200020	64596.9	192386	725	735
200021	139320	44009.9	740	805
200022	54438.8	17808.9	520	530
200023	200597	6245.69	930	945
200024	58634.8	131340	1030	1055
200025	31821.5	132197	740	810
200026	3080.95	129110	915	940
200027	9719.82	104327	1040	1100
200028	85235.4	191780	720	745
200029	14089.9	171882	900	925
200030	62121.8	52472.9	620	630
200031	49005.2	132049	545	615
200032	148775	103122	755	805
200033	151257	27064.7	1020	1040
200034	147873	203949	925	935
200035	8392.05	22939.6	955	1005
200036	189717	209015	715	745
200037	187113	103380	925	940
200038	125913	95767.4	720	745
200039	114511	1321.32	1000	1010
200040	110959	120918	855	920
200041	204110	1656.49	535	605
200042	48695.8	158012	935	945
200043	101046	80749.3	510	525
200044	15495	117302	530	545
200045	16158.9	128349	930	950
200046	181931	180945	610	620
200047	79950.1	195963	955	1010
200048	21553.8	8450.06	830	850
200049	39852.6	137915	920	935
200050	186185	80659.1	645	655
