ID	X	Y	AMEARLY	AMLATE
200001	3786.61	156248	730	755
200002	117081	80823.6	1015	1025
200003	46831.5	113678	815	840
200004	119787	71488.6	705	725
200005	12290.6	158266	610	630
200006	184444	19831	500	525
200007	46008.7	115760	735	805
200008	190742	20300.4	540	555
200009	137367	55159.8	800	830
200010	133421	16183.9	835	845
200011	116925	72836.3	605	635
200012	10955.6	150391	815	840
200013	8384.45	158044	810	830
200014	137954	52771.6	455	510
200015	42803.2	107942	805	830
200016	121111	78682.8	825	850
200017	128510	15885.6	915	935
200018	47515.1	119425	910	930
200019	6902.36	158075	940	1010
200020	130299	49429.4	630	655
200021	185147	22831.7	915	930
200022	136274	55273.6	720	735
200023	188217	11642.1	1035	1100
200024	51291.5	54059.1	535	600
200025	187156	16932	805	830
