ID	X	Y	AMEARLY	AMLATE
200001	150883	74896.8	555	615
200002	161963	103773	535	605
200003	118855	65028.7	540	610
200004	203807	138488	710	725
200005	74033.1	8192.24	610	635
200006	138411	22204.8	945	1010
200007	102013	199514	800	830
200008	91822.7	153126	920	930
200009	66711	147164	735	800
200010	79357.1	20831.9	535	600
200011	50068.7	210053	855	920
200012	141717	121143	600	610
200013	184593	199392	535	600
200014	85125.8	201293	515	545
200015	89850.4	13168.2	730	755
200016	92667.1	171599	925	945
200017	25040.8	191341	905	915
200018	94761.9	93066.7	750	805
200019	167093	68657.6	525	545
200020	10950.9	85828.4	530	540
200021	126371	72325.1	935	945
200022	17995.9	158334	845	905
200023	178437	138778	820	850
200024	210800	168627	915	945
200025	198973	163342	1025	1045
