ID	X	Y	AMEARLY	AMLATE
200001	164191	101179	700	710
200002	112541	179561	535	550
200003	162971	99458.5	835	905
200004	40702.1	167757	540	550
200005	53534.9	209294	820	840
200006	135043	113855	920	945
200007	17037.5	106713	715	740
200008	156477	73717.3	545	555
200009	113924	106750	835	850
200010	162951	105783	1045	1100
200011	102398	5724.47	820	845
200012	169724	100313	605	625
200013	201447	21192.9	1020	1035
200014	120506	198346	450	520
200015	41282.2	170181	955	1020
200016	127277	107383	600	625
200017	126742	113004	625	650
200018	108448	111795	715	740
200019	118360	184011	825	855
200020	115759	187352	500	525
200021	103192	13615.8	815	825
200022	116059	209040	700	725
200023	95622.7	197552	850	905
200024	14439.7	102003	805	825
200025	97812.3	196055	540	555
200026	98519	195466	625	655
200027	102528	1071.64	510	540
200028	164233	104762	835	855
200029	124035	108587	645	655
200030	39743.5	163309	735	750
200031	99714.8	186291	1025	1045
200032	113232	109621	905	930
200033	121218	203142	720	750
200034	109949	3841.31	505	530
200035	42048.7	161220	620	630
200036	98715.9	132797	505	525
200037	18067.9	95137.6	810	835
200038	46614.1	157105	750	805
200039	164386	84195.6	650	715
200040	101305	190769	855	920
200041	100670	11187.8	1040	1100
200042	20320.8	101257	745	810
200043	44640.8	168976	945	955
200044	102038	3699.25	835	845
200045	38424.3	163748	905	920
200046	204466	22974	800	830
200047	98358.2	193441	450	515
200048	13434.8	95326.8	835	855
200049	17163.8	102911	555	620
200050	167145	79087.2	800	810
