ID	X	Y	AMEARLY	AMLATE
200001	118159	163826	630	700
200002	144934	148382	520	545
200003	113660	107111	910	920
200004	68754.2	197252	540	605
200005	112803	198618	615	630
200006	154293	85538.4	1035	1055
200007	69991.8	199759	545	615
200008	77249.4	159939	540	555
200009	161267	183839	535	605
200010	42308.3	157045	735	800
200011	6329.49	124353	710	730
200012	71119.7	72131.7	725	740
200013	134602	143335	850	900
200014	55934.1	209466	600	610
200015	203981	152456	940	1010
200016	156445	203021	1030	1045
200017	97314.3	154170	705	730
200018	61367.7	175608	635	700
200019	94852.1	146835	1035	1055
200020	71745	23597	555	610
200021	122594	56230.6	805	830
200022	204078	206475	1000	1020
200023	188770	115884	750	810
200024	59221.3	28289.3	500	520
200025	107460	6600.2	740	800
200026	90385.4	169684	735	750
200027	198999	134395	640	655
200028	46336.8	177322	955	1005
200029	10409.5	189195	1025	1050
200030	81078.1	203871	715	740
200031	124663	53181.9	640	650
200032	94607.2	28714.7	1015	1025
200033	89025.4	101916	735	805
200034	50610.1	5878.3	700	720
200035	65956.9	53459.1	1010	1040
200036	3615.93	137541	720	735
200037	81509.9	167106	925	950
200038	47090.9	18762.9	905	925
200039	39336.9	145282	530	555
200040	182215	75844.3	545	555
200041	77958.4	173900	900	915
200042	107511	85403	455	515
200043	3925.31	88271.2	605	635
200044	196504	43114	615	630
200045	124315	43848.8	1050	1100
200046	72898.7	2861.8	725	755
200047	99099.7	157309	1000	1010
200048	63449.6	153442	735	805
200049	37590.2	174125	845	905
200050	37158.4	76856.3	1020	1040
200051	37293.7	7257.64	945	1000
200052	66098.7	145114	1030	1050
200053	65866.6	91107.3	740	755
200054	162259	197684	535	545
200055	186423	72209	1025	1050
200056	146339	146255	830	840
200057	69875.8	60781.2	800	830
200058	71010.2	183459	925	950
200059	117843	7850.63	640	650
200060	142530	173191	755	825
200061	183014	164767	555	605
200062	140725	123322	615	625
200063	111198	90707.6	825	850
200064	27084	51248.2	550	605
200065	204142	9855.18	1020	1040
200066	51138.7	87007.9	830	845
200067	124766	82889.2	850	905
200068	144096	180397	755	810
200069	46381.9	127299	555	625
200070	78068	45685.8	755	825
200071	33110.6	208938	910	925
200072	179707	188783	645	710
200073	185927	203929	1050	1100
200074	63797.7	3912.42	815	825
200075	75850.8	20593.4	950	1015
200076	33316.8	120795	740	810
200077	210027	58995.7	825	855
200078	77056.1	131688	940	1000
200079	39266	7225.41	720	735
200080	55212.2	146610	545	615
200081	110573	198573	915	945
200082	17054.8	51589.8	815	830
200083	127492	38209	1010	1035
200084	16913	60639.3	450	515
200085	99364	46736.4	1025	1045
200086	62250.7	26832.7	755	820
200087	144141	128523	640	700
200088	193630	47090.9	730	755
200089	818.57	189588	605	620
200090	63172.4	37242.2	845	910
200091	152275	148363	535	605
200092	123399	178399	645	705
200093	123251	184013	620	645
200094	202421	122439	635	700
200095	78422.5	166346	825	835
200096	111958	124785	710	735
200097	18008.8	168138	820	850
200098	176227	91474.7	925	955
200099	161389	159088	920	940
200100	203085	131115	540	610
