ID	X	Y	AMEARLY	AMLATE
200001	156842	3139.18	720	730
200002	30257.2	124539	640	705
200003	183108	98469.2	1010	1025
200004	171433	31232.4	1035	1050
200005	173551	39709.6	710	730
200006	187086	91080.2	835	900
200007	116320	93772.6	925	940
200008	171292	108003	920	930
200009	42288.3	74547.1	630	640
200010	82063.9	29120.9	530	545
200011	88816.2	31776.9	1040	1055
200012	203469	39220.5	610	630
200013	174249	43538.8	625	640
200014	171801	27867.5	555	620
200015	111962	168993	925	955
200016	207235	35904.9	925	940
200017	23264	123622	540	555
200018	168477	29799.6	805	825
200019	189520	94614.5	505	515
200020	105854	174598	605	620
200021	208122	35682.7	555	615
200022	91410	65430.9	925	955
200023	106829	173413	620	640
200024	23460.2	127713	630	640
200025	177518	36350.5	545	605
