ID	X_COORD	Y_COORD	EP_ID	STUDENT_COUNT
100001	170065	32719.3	200001	66
100002	10424.5	111680	200002	3
100003	180700	56633.8	200003	24
100004	147506	60468.3	200004	4
100005	148941	22613	200005	6
100006	202551	102527	200006	3
100007	139738	85353.5	200007	4
100008	175363	102347	200008	51
100009	40276.3	115844	200009	19
100010	96827.3	30431.1	200010	5
100011	71635.6	70209.6	200011	11
100012	177094	33258	200012	28
100013	156957	56336.4	200013	19
100014	186520	31409.3	200014	3
100015	95931.3	142506	200015	12
100016	201049	69047.9	200016	1
100017	22112.8	118166	200017	1
100018	152358	32097.2	200018	29
100019	178537	133367	200019	7
100020	146401	168085	200020	23
100021	200324	36764.3	200021	5
100022	99239.9	65847.1	200022	12
100023	64000.4	190585	200023	4
100024	43430.8	141954	200024	2
100025	150496	57871.5	200025	2
100026	91061.8	45715.1	200022	4
100027	11176	136300	200002	4
100028	21377.5	128590	200024	65
100029	11541.6	97023.8	200009	3
100030	133688	26283.4	200013	48
100031	121560	35004.4	200013	57
100032	174768	31380.7	200014	36
100033	41240	170406	200002	1
100034	175088	14555.2	200018	3
100035	112161	152170	200007	3
100036	28111.9	153905	200017	1
100037	32280.4	78006.2	200009	13
100038	88865.9	18902.5	200022	4
100039	94269.3	181823	200023	7
100040	82256.4	169105	200015	3
100041	120232	31766	200022	2
100042	30975.1	161529	200017	30
100043	42903.3	8504.22	200010	3
100044	186623	135754	200003	3
100045	147572	100426	200019	7
100046	95863.5	160495	200023	33
100047	135582	192102	200020	3
100048	127451	147598	200020	32
100049	134566	134510	200015	3
100050	111026	25133.1	200010	29
100051	65513.2	33979.2	200011	3
100052	51547.9	144596	200002	23
100053	57548.1	178400	200020	1
100054	190623	37254.2	200016	16
100055	197907	24606.2	200013	4
100056	111480	200460	200020	15
100057	17641.6	91345.5	200024	33
100058	102841	201787	200023	9
100059	98481.6	157276	200023	21
100060	123712	95076.6	200008	1
100061	25328.4	110029	200002	8
100062	68856	187781	200020	7
100063	78612.9	168546	200020	39
100064	39415.4	130598	200009	6
100065	56444.7	108410	200002	1
100066	60754.6	180058	200023	66
100067	75296.3	159285	200023	1
100068	76895.9	22622.6	200010	1
100069	57356	45394	200022	51
100070	49198.5	46571.7	200022	51
100071	137137	135945	200015	66
100072	151736	3364.02	200004	5
100073	91934.3	146668	200020	5
100074	35859	31778.3	200011	25
100075	16591	145057	200024	5
100076	191944	40830.1	200013	4
100077	2181.24	106336	200024	3
100078	98071.2	14966.8	200011	9
100079	125928	56977.7	200011	4
100080	46786.9	127923	200024	1
100081	131072	184649	200023	5
100082	141616	101111	200006	66
100083	23108.2	184669	200024	4
100084	134454	98761.9	200006	4
100085	71998.3	58174.4	200010	1
100086	187735	85633.4	200012	2
100087	39224.7	87577.6	200017	19
100088	121021	131691	200023	15
100089	22930.8	170423	200002	35
100090	20276.5	157316	200024	4
100091	2411.15	144911	200002	36
100092	18438.7	161572	200024	60
100093	49334.9	51211.2	200022	12
100094	185878	67041.7	200008	5
100095	48861	78842.2	200009	3
100096	169066	83985.3	200008	4
100097	156778	74304.1	200007	1
100098	121710	3175.15	200011	5
100099	127358	13058.4	200010	4
100100	163061	41907.7	200018	47
100101	102739	201548	200023	5
100102	122556	164487	200023	23
100103	113649	205684	200023	4
100104	52053.6	158353	200024	1
100105	11419.4	81815.1	200024	39
100106	49284.4	43212.4	200010	1
100107	29161.4	174998	200024	2
100108	166842	311.81	200025	31
100109	28881.4	65355.4	200009	24
100110	72261	142146	200024	35
100111	102960	198345	200023	4
100112	97688	184340	200023	21
100113	130013	23852.6	200001	4
100114	8591.91	148530	200017	34
100115	24321.7	157191	200017	3
