ID	X	Y	AMEARLY	AMLATE
200001	62247.6	43513.3	600	610
200002	94682.3	120627	950	1010
200003	186161	86895.2	720	730
200004	153587	2275.13	945	1005
200005	89745.7	125130	650	720
200006	154931	41281.6	510	540
200007	47435.5	16935.7	505	525
200008	149218	43138.6	1015	1040
200009	113274	25668.5	500	520
200010	94242.8	105501	505	515
200011	35230.5	160016	725	740
200012	63378.7	49644.8	810	835
200013	113743	183607	750	810
200014	185239	86138.8	610	625
200015	53751.2	120769	905	930
200016	96382.8	104977	740	800
200017	152715	128618	715	740
200018	36938.4	159467	735	755
200019	96671.2	116230	510	525
200020	156518	8725.3	600	630
200021	142993	6573.21	1025	1040
200022	138304	4802.18	1005	1035
200023	49742.2	126908	545	615
200024	93017.8	98187.1	905	915
200025	115596	175546	600	625
200026	115351	17345.3	505	520
200027	109984	179256	815	825
200028	37991	159238	535	600
200029	106995	179130	530	555
200030	54998	120221	510	525
200031	55957.9	43810.1	620	630
200032	156846	1795.82	810	840
200033	63238.1	47091.4	720	740
200034	144952	124160	1010	1030
200035	147941	118692	535	600
200036	59505.1	41900.6	1015	1045
200037	93695.3	103991	745	800
200038	145982	3498.82	830	845
200039	106352	178179	845	915
200040	59200.8	54585.9	1040	1050
200041	52153.8	129973	930	1000
200042	150226	1838.7	620	650
200043	113388	21107.7	910	940
200044	160352	45643.9	620	650
200045	139802	3166.86	955	1020
200046	58569.2	50910.5	455	510
200047	48965.8	126695	800	815
200048	49264.7	124572	620	635
200049	95940.8	124690	520	530
200050	159095	38182.8	800	825
