ID	X	Y	AMEARLY	AMLATE
200001	1671.08	1304.1	510	540
200002	40735.5	146324	640	700
200003	12782.6	155681	645	655
200004	78620.8	14748.3	645	705
200005	43373.7	69969.4	720	750
200006	83057	21158.7	1005	1020
200007	119777	47437.2	525	555
200008	55117.6	5048.01	930	940
200009	41303.6	69348.6	610	625
200010	49015.7	180235	755	815
200011	42129.3	130312	1035	1050
200012	78723.4	99353.8	1015	1030
200013	120782	49607.4	535	545
200014	87481.2	101363	710	730
200015	24158.7	109236	755	825
200016	11290.7	125561	940	950
200017	148796	208368	920	950
200018	207718	37463.5	1030	1050
200019	34143.7	108979	610	630
200020	121914	47283.7	610	630
200021	62674.2	10844.3	750	805
200022	126214	119267	710	720
200023	79252.2	17082	555	610
200024	86240.7	96016.2	1030	1045
200025	45920.4	173274	545	555
200026	117781	208181	835	855
200027	106941	208139	620	640
200028	60001	149302	700	715
200029	48231.4	146497	545	605
200030	86638.5	100244	845	855
200031	69981.9	148247	735	805
200032	145030	203604	535	605
200033	41005.6	174581	525	535
200034	41292.9	71047.4	705	715
200035	83614	99344.9	640	700
200036	82716.9	10340.9	500	530
200037	11554.7	32079	600	615
200038	84792.9	96249.9	505	520
200039	84508.4	98044.3	845	905
200040	43805.2	175675	455	505
200041	107483	208599	710	740
200042	38056.9	68740.9	910	920
200043	41156.3	171376	620	645
200044	45127.7	181065	550	615
200045	12870	126865	720	740
200046	129321	121283	505	515
200047	109160	208937	810	840
200048	17633.6	153263	555	620
200049	202878	161499	925	935
200050	165703	185211	925	950
200051	119101	51703.5	930	1000
200052	12010	184464	945	1005
200053	159776	184800	920	930
200054	57840.7	16113.5	635	700
200055	120376	49249.1	455	505
200056	51419.5	169904	735	745
200057	34228	108884	855	920
200058	126807	116674	645	715
200059	8184.76	2626.17	930	945
200060	44012.5	140823	1035	1100
200061	209204	162903	455	510
200062	209422	165784	1005	1025
200063	63654.1	152446	925	945
200064	37541.3	66394.7	505	520
200065	195192	70937	805	820
200066	2212.77	2373.79	1000	1010
200067	79111.3	209388	650	720
200068	63580.3	12711.8	800	830
200069	91049	18252.2	1015	1035
200070	40698.2	68957.2	850	905
200071	108491	206246	1035	1100
200072	46225.3	138004	740	800
200073	166444	177873	730	800
200074	207939	157707	1020	1045
200075	18107.5	150388	505	530
200076	76960.4	210488	845	855
200077	14654.6	120853	840	905
200078	207780	29405.6	825	835
200079	88202.9	98466.6	525	535
200080	120675	112799	745	810
200081	146516	205216	520	550
200082	202728	32903	930	1000
200083	200652	77341.1	850	900
200084	149311	210622	710	740
200085	202965	73340.4	600	610
200086	36908.2	64092.1	855	905
200087	128061	114478	505	520
200088	87977.1	90766.8	525	550
200089	117499	204030	525	550
200090	207061	30754.5	730	800
200091	56909.4	3699.65	615	625
200092	43042.8	150116	855	925
200093	34325.1	108528	1035	1100
200094	49755.6	179865	805	835
200095	43973.3	137084	1040	1100
200096	63019.8	149041	630	700
200097	120996	111824	820	830
200098	63155.1	150379	705	725
200099	124609	117195	715	725
200100	7466.34	35514.5	525	555
