ID	X	Y	AMEARLY	AMLATE
200001	83155.7	137643	740	805
200002	124741	167401	915	940
200003	72790.6	60287.7	520	530
200004	137118	207539	805	825
200005	127356	166742	950	1000
200006	121272	145366	745	810
200007	61363.2	70874.9	515	540
200008	26378.1	208028	910	935
200009	46105	169453	845	855
200010	90696.7	3501.63	530	550
200011	7085.7	150274	500	530
200012	101818	202210	1015	1025
200013	122598	149070	555	615
200014	81424.9	190238	700	715
200015	104753	90124.1	535	605
200016	138927	116414	950	1015
200017	71197.4	58699.8	615	645
200018	101891	126934	945	1015
200019	47710.4	199207	500	520
200020	99950.7	85011.2	825	840
200021	25383.3	209677	630	650
200022	63302.8	131472	920	940
200023	96430.4	178018	510	540
200024	87575.9	135675	905	930
200025	81129	196344	640	705
200026	35827.1	86162	815	830
200027	22721.3	206018	950	1020
200028	104745	41436.5	645	710
200029	119910	66065.8	520	550
200030	118874	47899.2	600	610
200031	21731.3	172872	530	540
200032	7211.32	144551	645	710
200033	102621	120251	945	1005
200034	55990.3	131366	900	930
200035	163545	63728.5	610	630
200036	88742.9	135409	800	820
200037	121254	67767	820	850
200038	32583.8	38234	850	920
200039	22240.7	210043	850	915
200040	135655	118683	505	535
200041	78096.5	102421	740	755
200042	106251	129868	845	900
200043	104473	124157	855	915
200044	52341.5	152308	1040	1055
200045	55644.2	158778	500	520
200046	55451.6	48373.9	705	725
200047	16820.2	104528	720	745
200048	24191.8	169751	750	815
200049	95082.5	133762	1000	1010
200050	169050	60382.9	605	625
200051	68996	4930.81	920	940
200052	80936.3	96141.2	1005	1035
200053	30116.5	87760.9	1045	1055
200054	60135.9	136382	455	510
200055	38393.6	73564	535	605
200056	207254	100223	550	600
200057	23868.4	210735	1030	1040
200058	13488.3	1854.5	610	640
200059	122885	149840	925	940
200060	163913	65017.1	1020	1040
200061	93646.1	171851	810	840
200062	104179	38345.9	935	945
200063	112076	54952.5	840	900
200064	63028.3	48064.3	945	1010
200065	73629.3	99543.1	530	540
200066	79093.6	54302.7	1020	1040
200067	55670.5	50236.4	900	920
200068	74338.9	62488.5	505	525
200069	55548.9	159300	635	655
200070	86071.1	146896	900	925
200071	54265.4	49633.7	720	745
200072	53271.9	76597.3	810	825
200073	28181.1	92320.3	620	630
200074	25577.3	204518	800	815
200075	126266	68086.9	635	645
200076	83393.8	86396.7	735	755
200077	54452.7	113149	715	735
200078	122167	67782.6	620	645
200079	77316.9	66396.9	455	515
200080	90654.3	176642	730	800
200081	50192.2	205677	825	835
200082	29186.1	37362.7	910	935
200083	61833.3	4488.88	1010	1030
200084	8400.55	147366	1035	1100
200085	14590.7	7598.18	640	700
200086	49427.5	162697	745	810
200087	61624.8	113774	915	935
200088	117254	61903.5	945	955
200089	192685	3175.6	940	1005
200090	131590	168849	855	905
200091	13436.7	209385	720	740
200092	100582	200842	525	535
200093	147634	203027	925	935
200094	90678.2	149280	555	625
200095	102709	36864.5	530	555
200096	62454.9	20237.6	700	730
200097	206878	101533	920	940
200098	116551	60579.3	1025	1045
200099	53315.8	164962	505	520
200100	96221.9	178683	945	1010
