ID	X	Y	AMEARLY	AMLATE
200001	8531.27	172535	1040	1055
200002	31547.3	7084.36	620	645
200003	13463.8	169621	905	930
200004	89215.1	142867	805	830
200005	51085	169671	615	640
200006	144922	135255	525	540
200007	162768	170489	725	750
200008	164766	173919	740	750
200009	45730.7	12402.3	600	625
200010	37101.9	5320.37	745	800
200011	5516.09	102738	630	640
200012	34935.9	7228.45	1020	1030
200013	173734	50215.4	835	850
200014	14297.8	167004	545	610
200015	18815.8	103042	940	1005
200016	178946	127101	525	535
200017	159355	73964.5	935	1000
200018	17219.5	104233	725	755
200019	56589.2	177971	910	925
200020	42964.4	6151.02	800	830
200021	181507	120719	520	550
200022	29665.8	4126.47	815	840
200023	26735.5	3517.21	910	930
200024	18746.6	172253	515	545
200025	130726	77162.8	1025	1055
200026	16853.6	110273	820	840
200027	171625	45527.3	545	605
200028	97915.1	153967	805	820
200029	2152.34	100552	635	650
200030	85216.7	146209	1010	1020
200031	156182	78659	735	745
200032	22713.6	5.33	940	1005
200033	165513	172974	650	700
200034	173058	125514	615	630
200035	173421	44062.4	810	840
200036	136968	70588.4	630	655
200037	17805	111550	520	530
200038	14652.3	172333	1030	1055
200039	59389	165250	815	840
200040	9718.65	175299	520	530
200041	177242	171030	530	540
200042	84515.9	178281	950	1015
200043	175554	123350	810	830
200044	13074.7	170768	925	950
200045	166812	167072	510	520
200046	94876.4	160345	815	825
200047	38112.4	115735	500	510
200048	3329.39	104646	600	610
200049	41407.4	2047.43	1020	1035
200050	22170.7	5025.12	615	640
