ID	X	Y	AMEARLY	AMLATE
200001	111830	53594.4	935	950
200002	24235.1	64352	900	930
200003	38995.3	181003	1010	1025
200004	164902	69547	455	515
200005	122890	148994	835	900
200006	84442.6	36159.3	915	925
200007	184477	33471.5	650	715
200008	29604.2	96005.9	615	625
200009	162214	112281	630	640
200010	153822	159178	720	745
200011	145875	130128	745	815
200012	89057.6	142633	805	830
200013	119970	68322.4	640	700
200014	128014	13864.3	915	940
200015	50358.8	96083.2	550	620
200016	3976.87	72260.6	930	1000
200017	102909	125887	850	910
200018	125829	200810	1005	1025
200019	149265	28772.8	955	1015
200020	199463	200230	655	705
200021	38325	87272.2	625	645
200022	93227.8	149497	940	1010
200023	210865	207545	1020	1035
200024	201757	159178	905	930
200025	122897	2674.88	700	710
