ID	X	Y	AMEARLY	AMLATE
200001	52721.9	134781	1020	1035
200002	68587.6	13662.6	515	545
200003	22054.4	169285	655	720
200004	94451.7	8012.81	455	520
200005	124314	2941.9	610	620
200006	49027.3	189619	915	940
200007	122293	26381.1	550	600
200008	200625	178218	625	635
200009	56985.2	190769	940	950
200010	74512.7	157513	1005	1030
200011	18685.5	80283.6	500	525
200012	26275.3	5807	555	605
200013	207317	182749	935	1000
200014	73390.8	15805.6	825	855
200015	74955.9	12598.4	720	735
200016	19372.2	161287	1020	1040
200017	93851.8	10119.5	550	605
200018	20006.9	10269.3	1020	1030
200019	24029.4	81088.3	455	515
200020	130393	8932.02	805	825
200021	198170	187120	615	635
200022	121838	49828.1	605	615
200023	60203.6	125631	515	525
200024	115309	164563	705	730
200025	67636.2	70702.5	1040	1055
200026	51986.6	184754	500	510
200027	88903.4	6370.93	750	800
200028	45990.2	183240	1015	1035
200029	204187	189863	1030	1045
200030	53406	191700	935	945
200031	116296	46012.9	835	850
200032	55515.1	136323	650	715
200033	38953.9	173195	810	825
200034	53159.8	44565.2	600	620
200035	39843.7	175229	845	910
200036	209665	184126	810	820
200037	188645	141103	635	645
200038	77714.1	150511	1035	1050
200039	193322	103237	610	635
200040	65459.7	73518.9	705	720
200041	68103.8	132480	715	745
200042	43334.9	177539	800	815
200043	119019	27685.7	1000	1025
200044	15968.7	171076	530	550
200045	56267	198367	525	545
200046	206383	182948	1025	1035
200047	56325.9	133108	535	605
200048	43675.1	176182	1040	1050
200049	64494.8	73836.8	525	555
200050	116264	164395	915	925
